#start1	start2	end1	end2	size2	name2
69908	1	70225	318	318	NODE_1_length_288_cov_2.038194
84148	1	84453	306	306	NODE_2_length_276_cov_1.771739
13804	1	14119	316	316	NODE_3_length_286_cov_2.034965
13173	1	13503	331	331	NODE_4_length_301_cov_3.019933
91309	1	91513	205	205	NODE_5_length_175_cov_1.548571
8474	1	9015	542	542	NODE_6_length_512_cov_2.654297
77926	1	78604	679	679	NODE_7_length_649_cov_3.714946
66216	1	66593	378	378	NODE_8_length_348_cov_1.982759
3748226	161	3748431	366	378	NODE_8_length_348_cov_1.982759
61790	1	62787	998	998	NODE_9_length_968_cov_1.780992
47250	1	47356	107	107	NODE_10_length_77_cov_2.467532
145	1	287	143	143	NODE_11_length_113_cov_2.876106
85812	1	86091	280	280	NODE_12_length_250_cov_2.240000
14419	1	14764	346	346	NODE_13_length_316_cov_2.579114
65406	1	65500	95	95	NODE_14_length_65_cov_1.415385
41387	1	41597	211	211	NODE_15_length_181_cov_1.541436
96716	1	96865	150	150	NODE_16_length_120_cov_2.925000
79176	1	79277	102	102	NODE_17_length_72_cov_1.569444
2257	1	2379	123	123	NODE_18_length_93_cov_1.086022
2512285	1	2513260	976	976	NODE_19_length_946_cov_2.979915
2793	1	2914	122	122	NODE_20_length_92_cov_2.608696
70258	1	70547	290	290	NODE_21_length_260_cov_2.053846
48145	1	48335	191	191	NODE_22_length_161_cov_1.881988
76916	1	77051	136	136	NODE_23_length_106_cov_2.471698
20570	1	20680	111	111	NODE_24_length_81_cov_2.271605
3581578	1	3582209	632	632	NODE_25_length_602_cov_7.767442
19805	1	20436	632	632	NODE_25_length_602_cov_7.767442
3218	1	3558	341	341	NODE_26_length_311_cov_2.623794
5879	1	6043	165	165	NODE_27_length_135_cov_1.859259
59040	1	59166	127	127	NODE_28_length_97_cov_2.247423
22027	1	22382	356	356	NODE_29_length_326_cov_2.570552
88623	1	89198	576	576	NODE_30_length_546_cov_2.564103
607219	20	607255	56	431	NODE_31_length_401_cov_3.047382
16331	1	16761	431	431	NODE_31_length_401_cov_3.047382
87337	1	87657	321	321	NODE_32_length_291_cov_1.945017
77064	1	77164	101	101	NODE_33_length_71_cov_2.323944
95941	1	96040	100	100	NODE_34_length_70_cov_1.828571
10952	1	11221	270	270	NODE_35_length_240_cov_2.275000
